DATE,INDPRO
2019-05-01,109.2264
2019-06-01,109.2774
2019-07-01,109.0852
2019-08-01,109.8543
2019-09-01,109.4725
2019-10-01,109.0270
2019-11-01,110.0388
2019-12-01,109.6527
2020-01-01,109.2128
2020-02-01,109.3608
2020-03-01,104.3554
2020-04-01,91.2823
2020-05-01,92.5503
